PRODUCT CODE,PRODUCT FAMILY,PRODUCT DESC,PRICE
AURORA,Generator,Aurora,11000
MINIO31220EU1,Generator,Mini 1,788
MINIO32220EU1,Generator,Mini 2,915
MINIO34220EU1,Generator,Mini 4,954
MINIO35220EU1P,Generator,Mini 5 (Piastre),812
MINIO37220EU1P,Generator,Mini 7 (Piastre),865
MINIO310220EU1P,Generator,Mini 10 (Piastre),1210
OM2G220EU2S,Generator,Omega 2,1529
OM3G220EU2S,Generator,Omega 3,1946
OM5G220EU2S,Generator,Omega 5,2410
OM6G220EU2S,Generator,Omega 6,2842
OM2G110A2S,Generator,Omega 2 (America),1529
OM3G110A2S,Generator,Omega 3 (America),1946
OM5G110A2S,Generator,Omega 5 (America),2410
OM6G110A2S,Generator,Omega 6 (America),2842
BP3/9IV220,Generator,Big PowerIV 3/9 ,6810
BP5/15IV220,Generator,Big PowerIV 5/15 ,7906
BP6/18IV220,Generator,Big PowerIV 6/18 ,8958
BP5+5CIV220,Generator,Big PowerIV 5+5 ,5867
OXE1A220,Accessory,Oxy EasyA,2607
OXE3B220,Accessory,Oxy EasyB,2922
OXN3B220,Accessory,Oxy NB,5985
OXN5C220,Accessory,Oxy NC,6533
OXN8D220,Accessory,Oxy ND,6980
OXN10E220,Accessory,Oxy NE,7250
OXP3B220,Accessory,Oxy ProB,9414
OXP5C220,Accessory,Oxy ProC,10650
OXP8D220,Accessory,Oxy ProD,11525
OXP10E220,Accessory,Oxy ProE,11825
HY12AC1L+1,Generator,Hydor H2O Eco,19817
HY20AC5L,Generator,Hydor H2O 5x4 V2,22400
HY24AC5L,Generator,Hydor H2O 6x4 V2,24100
GreenOzone ,Generator,GreenOzone V2 15g,19800
GreenOzone,Generator,GreenOzone V2 15/30,24810
GreenOzone ,Generator,GreenOzone V2 30/60,27880
GreenOzone ,Generator,GreenOzone V2 60/120,32000
D15SAB220,Generator,Delta O3 15g,13964
D20SAB220,Generator,Delta O3 20g,14327
DE15SAB220,Generator,Delta O3 Eco 15g,13243
DE20SAB220,Generator,Delta O3 Eco 20g,13812
ZETAO3A1,Accessory,ZETA O3 ,948
ZETAO3V2,Accessory,ZETA O3V2,690
Sensore fisso,Accessory,Sensore collegato via cavo,310
CL125.2,Accessory,Misuratore CL DIGITALE PORT. O/19.99PPM,672
SP651,Accessory,Sonda CL2/PT1000 X CL125.2,579
SP514,Accessory,Sonda TEMP. INOX PT100 Cavo 5 metri ,212
Trasporto,Service,Servizio di trasporto,120
Installazione,Service,Servizio di installazione,480
Formazione,Service,Servizio di formazione (1 ora),180
Manutenzione,Service,Un intervento di manutenzione,330
